,sb216763,tissue
ACH-000534,1,lymphocyte
ACH-001498,1,lymphocyte
ACH-000545,1,urinary_tract
ACH-001617,1,lymphocyte
ACH-000470,1,colorectal
ACH-000981,1,blood
ACH-000652,0,pancreas
ACH-001400,1,cervix
ACH-000660,1,lymphocyte
ACH-001549,0,lung
ACH-001442,0,cervix
ACH-001542,0,upper_aerodigestive
ACH-001702,1,soft_tissue
ACH-000958,1,colorectal
ACH-001638,0,lymphocyte
ACH-000318,0,esophagus
ACH-001497,0,esophagus
ACH-000437,1,central_nervous_system
ACH-000716,0,thyroid
ACH-000677,0,lung
ACH-000469,1,central_nervous_system
ACH-000991,1,colorectal
ACH-001328,1,skin
ACH-001344,0,peripheral_nervous_system
ACH-001530,1,uterus
ACH-000567,1,lymphocyte
ACH-001016,0,central_nervous_system
ACH-000484,0,kidney
ACH-001106,1,blood
ACH-001517,1,uterus
ACH-000949,0,gastric
ACH-000439,0,blood
ACH-001336,0,cervix
ACH-000489,1,colorectal
ACH-000002,0,blood
ACH-001525,0,cervix
ACH-001715,1,bone
ACH-000649,1,kidney
ACH-000970,1,colorectal
ACH-001494,1,bile_duct
ACH-000626,1,plasma_cell
ACH-001368,0,esophagus
ACH-001345,1,colorectal
ACH-001711,1,central_nervous_system
ACH-000719,0,ovary
ACH-001674,1,peripheral_nervous_system
ACH-000778,1,upper_aerodigestive
ACH-000611,1,lymphocyte
ACH-000910,0,breast
ACH-000688,1,ovary
ACH-000452,0,esophagus
ACH-001274,1,soft_tissue
ACH-000583,1,lymphocyte
ACH-000935,1,colorectal
ACH-000332,0,pancreas
ACH-000976,0,bile_duct
ACH-000428,0,kidney
ACH-001193,0,bone
ACH-001341,0,cervix
ACH-000362,0,blood
ACH-000556,0,cervix
ACH-000915,0,skin
ACH-001374,1,ovary
ACH-000371,0,lymphocyte
ACH-000421,1,colorectal
ACH-000714,1,plasma_cell
ACH-001333,0,cervix
ACH-000244,0,central_nervous_system
ACH-000874,1,blood
ACH-000684,1,kidney
ACH-001332,0,upper_aerodigestive
ACH-000365,1,lymphocyte
ACH-000896,1,urinary_tract
ACH-001529,1,uterus
ACH-000769,0,lung
ACH-001500,0,esophagus
ACH-000667,0,lung
ACH-000793,1,gastric
ACH-000809,1,esophagus
ACH-000863,0,central_nervous_system
ACH-000334,1,lymphocyte
ACH-001401,0,adrenal_cortex
ACH-000905,1,urinary_tract
ACH-000855,1,esophagus
ACH-000681,1,lung
ACH-000674,0,gastric
ACH-000335,0,lung
ACH-000631,1,central_nervous_system
ACH-000943,1,colorectal
ACH-000336,0,blood
ACH-001399,0,colorectal
ACH-001496,1,esophagus
ACH-000806,1,lymphocyte
ACH-000432,1,blood
ACH-000552,0,colorectal
ACH-000750,0,skin
ACH-000601,1,pancreas
ACH-001418,0,ovary
ACH-000997,1,colorectal
ACH-000711,0,breast
ACH-000411,1,kidney
ACH-000566,1,urinary_tract
ACH-000105,1,blood
ACH-000633,0,gastric
ACH-000749,1,lung
ACH-000361,0,liver
ACH-000337,0,lung
ACH-000528,0,lung
ACH-000827,1,skin
ACH-000213,1,pancreas
ACH-000754,1,lymphocyte
ACH-000971,1,colorectal
ACH-000148,1,breast
ACH-000367,0,lung
ACH-000722,1,colorectal
ACH-000650,0,skin
ACH-000450,0,skin
ACH-000384,0,urinary_tract
ACH-000212,0,breast
ACH-000569,1,lung
ACH-000581,1,gastric
ACH-000417,0,pancreas
ACH-000680,0,colorectal
ACH-000599,0,pancreas
ACH-000046,0,kidney
ACH-000979,1,prostate
ACH-000653,1,plasma_cell
ACH-000263,1,blood
ACH-000938,1,blood
ACH-000572,0,skin
ACH-000547,1,urinary_tract
ACH-000914,0,lymphocyte
ACH-000171,0,kidney
ACH-001526,1,bone
ACH-000311,0,lung
ACH-000983,1,blood
ACH-000045,1,blood
ACH-000023,1,pancreas
ACH-000755,1,breast
ACH-000768,1,breast
ACH-000738,1,central_nervous_system
ACH-000433,0,kidney
ACH-000752,0,lung
ACH-000380,1,plasma_cell
ACH-000751,1,blood
ACH-000881,0,skin
ACH-000987,0,skin
ACH-000430,1,ovary
ACH-000953,1,blood
ACH-000061,0,lymphocyte
ACH-000053,1,lymphocyte
ACH-000153,0,lung
ACH-000832,1,upper_aerodigestive
ACH-000120,1,peripheral_nervous_system
ACH-000481,0,lung
ACH-000668,0,breast
ACH-000403,1,colorectal
ACH-000438,0,lung
ACH-000906,0,ovary
ACH-000763,1,plasma_cell
ACH-000926,1,colorectal
ACH-000201,1,soft_tissue
ACH-000113,1,blood
ACH-000124,1,lymphocyte
ACH-000096,0,kidney
ACH-000059,1,blood
ACH-000496,1,lung
ACH-000663,0,ovary
ACH-000678,0,gastric
ACH-000315,0,lymphocyte
ACH-000222,0,pancreas
ACH-000605,0,esophagus
ACH-000654,0,lymphocyte
ACH-000245,1,lymphocyte
ACH-000988,0,uterus
ACH-000932,1,gastric
ACH-000288,1,breast
ACH-000326,0,blood
ACH-000018,1,urinary_tract
ACH-000218,0,blood
ACH-001306,0,thyroid
ACH-000488,0,esophagus
ACH-000596,1,lung
ACH-000232,1,central_nervous_system
ACH-000828,0,breast
ACH-000294,1,blood
ACH-000463,0,lung
ACH-000320,1,pancreas
ACH-000295,1,blood
ACH-000852,0,lung
ACH-000960,1,blood
ACH-000400,1,colorectal
ACH-000934,1,breast
ACH-000558,0,central_nervous_system
ACH-000804,1,peripheral_nervous_system
ACH-000968,0,skin
ACH-000880,0,gastric
ACH-000386,0,blood
ACH-000139,0,pancreas
ACH-000825,1,lung
ACH-000609,1,central_nervous_system
ACH-000301,1,blood
ACH-000090,0,prostate
ACH-000338,1,lymphocyte
ACH-000174,0,thyroid
ACH-000330,0,breast
ACH-000853,0,lung
ACH-000188,0,upper_aerodigestive
ACH-000323,0,central_nervous_system
ACH-000847,1,gastric
ACH-000535,1,pancreas
ACH-000810,0,skin
ACH-000007,1,colorectal
ACH-000919,0,gastric
ACH-000383,1,esophagus
ACH-000478,0,liver
ACH-000571,1,central_nervous_system
ACH-000108,0,pancreas
ACH-000448,0,lung
ACH-000989,1,colorectal
ACH-000155,0,pancreas
ACH-000927,0,breast
ACH-000106,0,lymphocyte
ACH-000657,0,ovary
ACH-000957,1,colorectal
ACH-000104,1,blood
ACH-000824,0,esophagus
ACH-000798,0,colorectal
ACH-000047,0,gastric
ACH-000865,1,esophagus
ACH-000522,1,urinary_tract
ACH-000555,1,kidney
ACH-001373,0,ovary
ACH-000577,0,liver
ACH-000748,1,bone
ACH-000859,1,breast
ACH-000693,0,esophagus
ACH-000696,1,ovary
ACH-000396,0,urinary_tract
ACH-000757,0,lung
ACH-000074,0,blood
ACH-000259,1,peripheral_nervous_system
ACH-000620,0,liver
ACH-000913,0,uterus
ACH-000655,0,central_nervous_system
ACH-000911,0,gastric
ACH-000424,1,bone
ACH-000226,1,lymphocyte
ACH-000356,0,gastric
ACH-000006,1,blood
ACH-000009,0,colorectal
ACH-000200,1,central_nervous_system
ACH-000580,1,skin
ACH-000270,1,pancreas
ACH-000505,0,soft_tissue
ACH-000838,0,plasma_cell
ACH-000973,1,urinary_tract
ACH-000287,1,lymphocyte
ACH-000359,0,bone
ACH-000614,1,skin
ACH-000846,0,upper_aerodigestive
ACH-000472,0,upper_aerodigestive
ACH-000204,0,plasma_cell
ACH-000974,0,uterus
ACH-000579,1,skin
ACH-000589,0,lung
ACH-000092,1,lung
ACH-000491,0,colorectal
ACH-000473,0,urinary_tract
ACH-000894,0,lung
ACH-000258,1,breast
ACH-000963,1,colorectal
ACH-000554,0,breast
ACH-000070,1,blood
ACH-000357,0,lymphocyte
ACH-000849,1,breast
ACH-000788,0,skin
ACH-000303,0,gastric
ACH-000250,0,kidney
ACH-000510,1,lung
ACH-000986,1,colorectal
ACH-000936,0,ovary
ACH-000607,0,soft_tissue
ACH-000277,1,breast
ACH-000355,1,lung
ACH-000281,1,pancreas
ACH-000506,0,lung
ACH-000883,1,central_nervous_system
ACH-000966,0,ovary
ACH-000425,1,skin
ACH-000004,1,blood
ACH-000304,1,skin
ACH-000956,0,prostate
ACH-000574,1,ovary
ACH-000060,0,pancreas
ACH-000236,0,colorectal
ACH-000072,1,blood
ACH-000147,0,breast
ACH-000815,1,lymphocyte
ACH-000030,0,lung
ACH-000817,1,plasma_cell
ACH-000617,0,ovary
ACH-000691,0,breast
ACH-000207,1,upper_aerodigestive
ACH-000198,1,blood
ACH-000724,0,urinary_tract
ACH-000162,0,lymphocyte
ACH-000985,0,colorectal
ACH-000725,0,breast
ACH-000019,1,breast
ACH-000322,1,skin
ACH-000821,0,plasma_cell
ACH-000756,1,central_nervous_system
ACH-000551,1,blood
ACH-000524,0,ovary
ACH-000183,1,plasma_cell
ACH-000020,1,blood
ACH-000193,0,plasma_cell
ACH-000944,1,lymphocyte
ACH-000651,0,colorectal
ACH-000857,1,breast
ACH-000267,0,lymphocyte
ACH-000464,0,central_nervous_system
ACH-000082,1,bone
ACH-000784,0,esophagus
ACH-000048,0,ovary
ACH-000094,0,pancreas
ACH-000219,1,skin
ACH-000595,0,central_nervous_system
ACH-000826,1,lung
ACH-000363,0,plasma_cell
ACH-000530,0,lung
ACH-000918,1,blood
ACH-000856,0,breast
ACH-000376,1,central_nervous_system
ACH-000235,0,pancreas
ACH-000869,0,lung
ACH-000679,1,esophagus
ACH-000075,0,central_nervous_system
ACH-000065,0,blood
ACH-000622,0,central_nervous_system
ACH-000613,1,bone
ACH-000248,1,breast
ACH-000538,1,gastric
ACH-000375,1,soft_tissue
ACH-000951,0,lung
ACH-000616,0,gastric
ACH-000662,0,lung
ACH-000369,1,blood
ACH-000648,1,lung
ACH-000360,1,colorectal
ACH-000353,0,esophagus
ACH-000892,0,lung
ACH-000995,1,blood
ACH-000243,0,pancreas
ACH-000273,1,central_nervous_system
ACH-000639,0,lung
ACH-000893,0,lung
ACH-000803,0,lung
ACH-000922,1,blood
ACH-000056,1,lymphocyte
ACH-000811,0,ovary
ACH-000151,1,blood
ACH-000138,1,pancreas
ACH-000101,1,blood
ACH-000227,0,peripheral_nervous_system
ACH-000875,0,lung
ACH-000882,0,skin
ACH-000374,0,breast
ACH-000501,1,colorectal
ACH-000532,0,colorectal
ACH-000627,1,lung
ACH-000902,0,breast
ACH-000879,0,uterus
ACH-000977,1,prostate
ACH-000078,1,peripheral_nervous_system
ACH-000293,0,uterus
ACH-000740,0,upper_aerodigestive
ACH-000001,0,ovary
ACH-000431,0,lung
ACH-000823,1,esophagus
ACH-000965,0,uterus
ACH-000168,0,blood
ACH-000570,1,central_nervous_system
ACH-000054,0,soft_tissue
ACH-000562,1,lung
ACH-000347,0,pancreas
ACH-000129,1,lung
ACH-000024,1,plasma_cell
ACH-000873,0,esophagus
ACH-000745,0,plasma_cell
ACH-000559,0,lung
ACH-000800,0,lung
ACH-000441,0,skin
ACH-000118,0,pancreas
ACH-000476,1,liver
ACH-000132,0,ovary
ACH-000573,0,breast
ACH-000217,0,liver
ACH-000420,1,liver
ACH-000998,1,colorectal
ACH-000149,1,peripheral_nervous_system
ACH-000346,1,blood
ACH-000486,1,urinary_tract
ACH-000903,0,thyroid
ACH-000747,0,lung
ACH-000929,0,lung
ACH-000759,0,breast
ACH-000770,1,blood
ACH-000465,1,skin
ACH-000146,0,blood
ACH-000830,0,lung
ACH-000615,0,skin
ACH-000211,1,central_nervous_system
ACH-000729,0,lung
ACH-000585,0,lung
ACH-000265,0,pancreas
ACH-000816,1,lung
ACH-000876,1,breast
ACH-000035,0,lung
ACH-000373,0,blood
ACH-000563,0,lung
ACH-000999,0,colorectal
ACH-000392,0,lung
ACH-000647,0,esophagus
ACH-000252,0,colorectal
ACH-000945,1,lung
ACH-000410,0,bone
ACH-000233,1,lymphocyte
ACH-000508,0,lung
ACH-000102,0,central_nervous_system
ACH-000636,1,blood
ACH-000482,0,lung
ACH-000527,0,ovary
ACH-000637,0,esophagus
ACH-000115,1,prostate
ACH-000900,1,lung
ACH-000098,1,central_nervous_system
ACH-000802,1,urinary_tract
ACH-000805,0,skin
ACH-000619,1,upper_aerodigestive
ACH-000638,0,lung
ACH-000015,0,lung
ACH-000416,0,lung
ACH-000381,1,colorectal
ACH-000012,0,lung
ACH-000969,0,colorectal
ACH-000792,1,kidney
ACH-000962,1,ovary
ACH-000776,0,central_nervous_system
ACH-000720,1,urinary_tract
ACH-000890,0,lung
ACH-000423,0,skin
ACH-000930,0,breast
ACH-000401,1,skin
ACH-000822,0,skin
ACH-000081,0,blood
ACH-000475,0,liver
ACH-000231,0,central_nervous_system
ACH-000670,0,lung
ACH-000257,0,lung
ACH-000940,0,uterus
ACH-000372,1,blood
ACH-000210,1,bone
ACH-000718,0,lung
ACH-000584,0,ovary
ACH-000787,1,lung
ACH-001075,1,lung
ACH-000665,1,lung
ACH-000955,1,colorectal
ACH-000841,1,lung
ACH-000008,1,skin
ACH-000073,0,lymphocyte
ACH-000699,0,breast
ACH-000643,1,breast
ACH-000298,0,lung
ACH-000378,1,lung
ACH-000950,1,colorectal
ACH-000480,0,liver
ACH-000703,0,lung
ACH-000586,0,lung
ACH-000290,0,lung
ACH-000350,0,colorectal
ACH-000457,1,kidney
ACH-000641,1,blood
ACH-000939,0,soft_tissue
ACH-000980,1,lung
ACH-000447,0,lung
ACH-000521,0,lung
ACH-000358,0,lung
ACH-000309,1,lung
ACH-000504,0,central_nervous_system
ACH-000536,0,breast
ACH-000783,1,breast
ACH-000348,1,skin
ACH-000669,0,lung
ACH-000408,0,esophagus
ACH-000818,0,breast
ACH-000644,0,skin
ACH-000697,1,lymphocyte
ACH-000249,0,colorectal
ACH-000366,1,peripheral_nervous_system
ACH-000924,0,lung
ACH-000091,0,ovary
ACH-000780,1,lung
ACH-000866,1,lung
ACH-000191,1,thyroid
ACH-000100,1,soft_tissue
ACH-000189,0,kidney
ACH-000260,1,peripheral_nervous_system
ACH-000040,0,central_nervous_system
ACH-000610,0,lung
ACH-000733,1,lung
ACH-000440,0,lymphocyte
ACH-001190,1,skin
ACH-000391,0,bone
ACH-000666,0,lung
ACH-000223,0,breast
ACH-000443,0,ovary
ACH-000786,1,lymphocyte
ACH-000136,0,peripheral_nervous_system
ACH-000142,1,urinary_tract
ACH-000689,0,soft_tissue
ACH-000107,0,pancreas
ACH-000518,0,upper_aerodigestive
ACH-000269,0,central_nervous_system
ACH-000264,1,lung
ACH-000835,1,soft_tissue
ACH-000702,1,lymphocyte
ACH-000282,0,lung
ACH-000546,1,upper_aerodigestive
ACH-000067,1,central_nervous_system
ACH-000117,0,breast
ACH-000628,0,lung
ACH-000790,0,lung
ACH-000451,1,lung
ACH-000867,1,lung
ACH-000087,0,bone
ACH-000159,1,kidney
ACH-000062,1,lung
ACH-000276,0,breast
ACH-000055,1,central_nervous_system
ACH-000781,1,lung
ACH-000111,0,breast
ACH-000888,0,lung
ACH-000121,1,lung
ACH-000871,1,lung
ACH-000717,0,esophagus
ACH-000565,1,colorectal
ACH-000192,0,uterus
ACH-000895,1,colorectal
ACH-000789,0,lung
ACH-000050,1,plasma_cell
ACH-000354,0,pancreas
ACH-000196,1,breast
ACH-000254,0,upper_aerodigestive
ACH-000395,0,lung
ACH-000116,0,ovary
ACH-000157,0,lymphocyte
ACH-000621,0,breast
ACH-000308,0,ovary
ACH-000694,0,esophagus
ACH-000038,0,lymphocyte
ACH-000169,1,soft_tissue
ACH-000743,0,lung
ACH-000427,1,gastric
ACH-000238,1,upper_aerodigestive
ACH-000640,0,skin
ACH-000548,0,upper_aerodigestive
ACH-000161,0,lung
ACH-000860,0,lung
ACH-000560,0,gastric
ACH-000434,1,lung
ACH-000456,1,thyroid
ACH-000341,1,peripheral_nervous_system
ACH-000021,0,lung
ACH-000058,0,thyroid
ACH-000775,0,lung
ACH-000364,1,bone
ACH-000624,1,breast
ACH-000352,0,breast
ACH-000349,1,breast
ACH-000319,0,lung
ACH-000181,0,upper_aerodigestive
ACH-000137,1,central_nervous_system
ACH-000766,1,lung
ACH-000675,0,lung
ACH-000389,1,central_nervous_system
ACH-000920,1,blood
ACH-000351,0,gastric
ACH-000394,0,lung
ACH-000744,0,lung
ACH-000114,0,pancreas
ACH-000795,1,blood
ACH-000144,0,gastric
ACH-000514,0,lung
ACH-000864,1,uterus
ACH-000305,0,esophagus
ACH-000603,0,lung
ACH-000916,0,lung
ACH-000978,0,uterus
ACH-000052,0,bone
